OWNER_ID,AGE_GROUP,GENDER,DISTRICT,PRIMARY_BREED,SECONDARY_BREED,DOG_YEAR_OF_BIRTH,DOG_GENDER,DOG_COLOUR,DATASET_YEAR,UPDATE_TIME,BREED_TYPE
80096,51-60,w,11.0,Malteser,,2004,m,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80097,61-70,m,6.0,Jack Russel Terrier,,2006,m,black/white,2015,2023-10-12 10:43:28,Kleinwüchsig
80099,71-80,m,12.0,Pinscher,,2002,m,rot,2015,2023-10-12 10:43:28,Kleinwüchsig
80106,61-70,w,9.0,Labrador Retriever,Golden Retriever,2009,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80127,41-50,w,10.0,American Bulldog,,2005,w,white,2015,2023-10-12 10:43:28,Rassentypenliste I
80141,51-60,m,11.0,Schnauzer,,2002,w,grau/brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80143,71-80,w,9.0,Yorkshire Terrier,,2007,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
80157,71-80,w,11.0,Mischling klein,,2003,w,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
80162,51-60,m,12.0,Bouvier,,2008,w,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80162,51-60,m,12.0,Parson Jack Russell Terrier,,2008,m,white/rot,2015,2023-10-12 10:43:28,Kleinwüchsig
80168,61-70,m,11.0,Labrador Retriever,,2005,m,beige,2015,2023-10-12 10:43:28,Rassentypenliste I
80169,41-50,w,4.0,Jack Russel Terrier,Wolfspitz,2014,m,black,2015,2023-10-12 10:43:28,Kleinwüchsig
80169,41-50,w,4.0,Jack Russel Terrier,,2007,w,tricolor,2015,2023-10-12 10:43:28,Kleinwüchsig
80172,51-60,m,9.0,Labrador Retriever,,2008,m,black,2015,2023-10-12 10:43:28,Rassentypenliste I
80185,41-50,m,10.0,Labrador Retriever,,2010,w,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
80187,51-60,w,3.0,Golden Retriever,,2003,w,blondfarben,2015,2023-10-12 10:43:28,Rassentypenliste I
80188,51-60,w,10.0,Mischling klein,,2014,m,brown,2015,2023-10-12 10:43:28,Kleinwüchsig
80198,81-90,w,7.0,Malteser,,2000,w,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80201,51-60,m,3.0,Mischling klein,,2007,w,black,2015,2023-10-12 10:43:28,Kleinwüchsig
80204,51-60,w,11.0,Appenzeller,,1998,m,dreifarbig,2015,2023-10-12 10:43:28,Rassentypenliste I
80205,41-50,m,5.0,Beauceron,,2005,m,black/tan,2015,2023-10-12 10:43:28,Rassentypenliste I
80209,81-90,m,10.0,Bichon Havanais,,2000,w,white,2015,2023-10-12 10:43:28,Kleinwüchsig
80217,51-60,w,3.0,Foxterrier,,2007,w,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
80223,41-50,m,11.0,Dachshund,,2011,w,hellbraun,2015,2023-10-12 10:43:28,Kleinwüchsig
80226,71-80,w,6.0,Labrador Retriever,,2010,m,brown,2015,2023-10-12 10:43:28,Rassentypenliste I
80230,61-70,w,9.0,Yorkshire Terrier,,2006,m,brown/white,2015,2023-10-12 10:43:28,Kleinwüchsig
80230,61-70,w,9.0,Yorkshire Terrier,,2006,w,black/brown,2015,2023-10-12 10:43:28,Kleinwüchsig
